adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,,[],523999,en,The Liberation,"Washington DC Filmmakers Christoph Green and Brendan Canty (Fugazi) embed themselves in a class of recovering addicts, former drug dealers, and felons, all going through the DC Central Kitchen Culinary Training Program. Three months of hardcore therapy every morning and Knife Skills every afternoon.",0.657,/nzFOTmu1hOLVaWM0dAMZkWP3Bc.jpg,2018-06-14,The Liberation,False,0.0,0
False,,[],524003,en,The Providers,"Set against the backdrop of the physician shortage and opioid epidemic in rural America, The Providers follows three healthcare providers in northern New Mexico. They work at El Centro, a group of safety-net clinics that offer care to all who walk through the doors, regardless of ability to pay. Amidst personal struggles that reflect those of their patients, the journeys of the providers unfold as they work to reach rural Americans who would otherwise be left out of the healthcare system. With intimate access, the documentary shows the transformative power of providers’ relationships with marginalized patients.",0.894,/9fgtgtmwmLIjohgOmViuOsqeAGz.jpg,2018-04-06,The Providers,False,0.0,0
False,,[99],534932,en,We Exist: Beyond the Binary,"What if the world told you that you do not exist? This is the reality for Lauren: a person in their mid-twenties who identifies as gender neutral. Lauren's story chronicles their entire life—from early childhood, to a near death experience, to living in the depths of the rain forest—capturing the physical, emotional, and mental obstacles Lauren must face just to get to say, ""I exist.""",0.6,/t5iER1Rx5EaFOl53jsL5iJHyy2z.jpg,2018-04-18,We Exist: Beyond the Binary,False,0.0,0
False,,[99],525116,en,Supernatural Assault,A look at the link between the Djinn and Shadow People,0.6,,2018-04-02,Supernatural Assault,False,0.0,0
False,/iOa6iD7t7nv6wghPuMdZCaQSDJh.jpg,"[35, 18, 37]",440161,en,The Sisters Brothers,"Oregon, 1851. Hermann Kermit Warm, a chemist and aspiring gold prospector, keeps a profitable secret that the Commodore wants to know, so he sends the Sisters brothers, two notorious assassins, to capture him on his way to California.",16.304,/7Tl2nZ6uvmxwK14Skbf9VFHEHpX.jpg,2018-09-19,The Sisters Brothers,False,7.1,431
False,/rGs1Sq4J1RKhjeABOzviDV929wK.jpg,[18],429194,en,Journeyman,"A boxer suffers a serious head injury during a fight, and must deal with the consequences.",2.248,/vM0n8B8CULT0zxljdDRi1KuCYc8.jpg,2018-03-30,Journeyman,False,6.7,22
False,/pfEdmzLr6OtBPnBPoSW09O3xsER.jpg,"[53, 18, 9648]",429195,en,Dark River,"After her father dies, a young woman returns to her Yorkshire village for the first time in 15 years to claim the family farm she believes is hers.",4.378,/hgzMPafOXa4wCGMvHGNpJLbr7Xv.jpg,2018-02-23,Dark River,False,6.0,31
False,/7TTlvADXSxg0yzlGTZFExmw4TSC.jpg,"[18, 36, 35]",429197,en,Vice,"George W. Bush picks Dick Cheney, the CEO of Halliburton Co., to be his Republican running mate in the 2000 presidential election. No stranger to politics, Cheney's impressive résumé includes stints as White House chief of staff, House Minority Whip and defense secretary. When Bush wins by a narrow margin, Cheney begins to use his newfound power to help reshape the country and the world.",62.734,/1gCab6rNv1r6V64cwsU4oEr649Y.jpg,2018-12-25,Vice,False,7.2,934
False,/cDMKcBhtXx5GcsJPiVzRKwaYqdE.jpg,"[18, 10402]",429202,en,Vox Lux,"In 1999, teenage sisters Celeste and Eleanor survive a seismic, violent tragedy. The sisters compose and perform a song about their experience, making something lovely and cathartic out of a catastrophe - while also catapulting Celeste to stardom. By 2017, Celeste is a mother to a teenage daughter of her own and is struggling to navigate a career fraught with scandals when another act of terrifying violence demands her attention.",10.496,/35WZbqmBxhxlt41RIg0x2ypZx4Q.jpg,2018-12-07,Vox Lux,False,6.1,77
False,/8bRIfPGDnmWgdy65LO8xtdcFmFP.jpg,"[35, 80, 18]",429203,en,The Old Man & the Gun,"The true story of Forrest Tucker, from his audacious escape from San Quentin at the age of 70 to an unprecedented string of heists that confounded authorities and enchanted the public.  Wrapped up in the pursuit are a detective, who becomes captivated with Forrest’s commitment to his craft, and a woman, who loves him in spite of his chosen profession.",12.615,/a4BfxRK8dBgbQqbRxPs8kmLd8LG.jpg,2018-09-27,The Old Man & the Gun,False,6.6,246
False,/64jAqTJvrzEwncD3ARZdqYLcqbc.jpg,"[53, 10749, 12]",429300,en,Adrift,"A true story of survival, as a young couple's chance encounter leads them first to love, and then on the adventure of a lifetime as they face one of the most catastrophic hurricanes in recorded history.",20.015,/5gLDeADaETvwQlQow5szlyuhLbj.jpg,2018-05-31,Adrift,False,6.7,1130
False,/q9fJ7b15gNb42LL4kS3FNUvVzlT.jpg,[99],443128,en,Islam and the Future of Tolerance,"In the thick of a controversial war of ideas, two enlightening figures, Sam Harris, an atheist and a critic of religion, and Maajid Nawaz, an Islamist-turned-liberal activist, partake in an engaging dialogue on the state of Islam, its potential reform, the militant ideology of Islamism, and where all this lays in a secular world.",0.6,/jLgAgU7ZZvI5e7tZ3310xuF6f8k.jpg,2018-12-11,Islam and the Future of Tolerance,False,0.0,0
False,/7t88SoT3Dd8DhGnQuVoSbMNUl3W.jpg,"[16, 10751, 12, 14]",446894,en,Smallfoot,A bright young yeti finds something he thought didn't exist—a human. News of this “smallfoot” throws the simple yeti community into an uproar over what else might be out there in the big world beyond their snowy village.,24.992,/zfaiO7QgpcvR8XDOMokWLRfKeTE.jpg,2018-09-20,Smallfoot,False,6.6,531
False,/f6lQzo9REaVzSatgECUoeXgY1pw.jpg,[53],443849,en,Winter Ridge,"Tearing himself away from the bedside of his coma-bound wife, a police Sergeant investigates a series of age-related murders, only to discover that time can be far more destructive and cruel than the idealistic killer........",3.213,/zAIaeLJ8oAwIcFygWbpC4mNeGtK.jpg,2018-09-18,Winter Ridge,False,5.6,10
