id,title,overview,genres,release_date,adult,vote_count,vote_average,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,overview_len,month,day,day_of_week
546763,Fiance Killer,nicole is stunned when her daughter cameron returns from a vacation in mexico engaged to handsome brent  but brent has a secret girlfriend  lexi  and together they re planning to kill cameron for her money right after her honeymoon ,"['Crime', 'Thriller']",2018-04-28,False,2,5.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,232.0,4,28,Sat
528911,Alex & Me,an uplifting story of the passion and drive it takes to succeed and the power of family to help realize your dreams ,['Family'],2018-06-12,False,28,7.2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,116.0,6,12,Tue
528942,The Neighborhood Nightmare,when lindsay porter  responsible mother and head of the local neighborhood watch program  falls for stephen  the handsome new bachelor on the block  she begins to fear she and her daughter s lives may be in grave danger ,['Thriller'],2018-06-08,False,3,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,220.0,6,8,Fri
528947,Number 12 Looks Just Like You,a nagging feeling leads to a late night walk and a conversation between two women about the twilight zone and marriage ,"['Drama', 'Romance']",2018-06-07,False,1,7.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,119.0,6,7,Thu
528998,Affairs of State,a young campaign aide gets in way over his head when he sleeps with the wife of a presidential candidate  sending him into a downward spiral of corruption and blackmail  he is left fighting not only for his career  but also his life ,"['Drama', 'Thriller', 'Romance']",2018-06-15,False,8,5.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,233.0,6,15,Fri
528999,Family Pies,don t be greedy  there s enough family pie to go around  these horny step fathers  mothers  brothers  and step sisters love to share and keep it in the family  peak behind closed doors to see how they strengthen their family bonds  stay for dessert and sample a piece of mom s hot pie ,,2018-06-01,True,1,9.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285.0,6,1,Fri
529016,A Girl's Guide To TV,rachel parris s comic guide to how women can get ahead in television  despite their bodies teeming with pesky oestrogen    using a plethora of archive footage   some odd  some plain alarming   rachel explains to women  and probably a few men  just how they can be successful appearing on  and working in  television ,['Comedy'],2018-06-09,False,1,8.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316.0,6,9,Sat
529037,My DP 4,stunning models  beautiful cinematography  luxury places  award winning director greg lansky produces a new collection of sexy erotic stories highlighted by cover model natalia starr ,,2018-05-16,True,1,5.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.0,5,16,Wed
517952,The State Against Mandela and The Others,2018 marks the centenary of nelson mandela s birth  he seized center stage during a historic trial in 1963 and 1964  but there were eight others who  like him  faced the death sentence  they too were subjected to pitiless cross examinations  to a man they stood firm and turned the tables on the state  south africa s apartheid regime was in the dock  recently recovered archival recordings of those hearings transport us back into the thick of the courtroom battles ,['Documentary'],2018-10-17,False,4,7.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,467.0,10,17,Wed
518021,RISE 7: Sensation,delilah doom defends against deonna purrazzo who has yet to face defeat in one on one competition in rise ,,2018-04-14,False,2,6.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106.0,4,14,Sat
