class,timestamp,org,repo,size_KB,size,pull_count,errors
COGSCI 1,2019-09-26 16:00:00,ds-modules,COGSCI-1,26153.0,145.0,36,0.0
COGSCI 1,2019-09-26 17:00:00,ds-modules,COGSCI-1,31983.0,145.0,37,0.0
COGSCI 1,2019-09-26 18:00:00,ds-modules,COGSCI-1,617.0,145.0,24,0.0
COGSCI 1,2019-09-26 19:00:00,ds-modules,COGSCI-1,26153.0,145.0,22,366.25
COGSCI 1,2019-09-26 20:00:00,ds-modules,COGSCI-1,26153.0,145.0,27,0.0
COGSCI 1,2019-09-26 21:00:00,ds-modules,COGSCI-1,26153.0,145.0,17,0.0
COGSCI 1,2019-09-26 22:00:00,ds-modules,COGSCI-1,31983.0,145.0,16,0.0
COGSCI 1,2019-09-26 23:00:00,ds-modules,COGSCI-1,26153.0,145.0,12,0.0
COGSCI 1,2019-09-27 00:00:00,ds-modules,COGSCI-1,26153.0,145.0,12,0.0
COGSCI 1,2019-09-27 01:00:00,ds-modules,COGSCI-1,31983.0,145.0,8,0.0
COGSCI 1,2019-09-27 02:00:00,ds-modules,COGSCI-1,617.0,145.0,10,0.0
COGSCI 1,2019-09-27 03:00:00,ds-modules,COGSCI-1,26153.0,145.0,37,0.0
COGSCI 1,2019-09-27 04:00:00,ds-modules,COGSCI-1,617.0,145.0,8,0.0
COGSCI 1,2019-09-27 05:00:00,ds-modules,COGSCI-1,617.0,145.0,20,0.0
COGSCI 1,2019-09-27 06:00:00,ds-modules,COGSCI-1,31983.0,145.0,20,0.0
COGSCI 1,2019-09-27 07:00:00,ds-modules,COGSCI-1,31983.0,145.0,3,546.25
COGSCI 1,2019-09-27 08:00:00,ds-modules,COGSCI-1,31983.0,145.0,2,0.0
COGSCI 1,2019-09-27 09:00:00,ds-modules,COGSCI-1,31983.0,145.0,2,0.0
COGSCI 1,2019-09-27 14:00:00,ds-modules,COGSCI-1,617.0,145.0,5,0.0
COGSCI 1,2019-09-27 15:00:00,ds-modules,COGSCI-1,617.0,145.0,15,0.0
COGSCI 1,2019-09-27 16:00:00,ds-modules,COGSCI-1,617.0,145.0,13,0.0
COGSCI 1,2019-09-27 17:00:00,ds-modules,COGSCI-1,26153.0,145.0,14,0.0
COGSCI 1,2019-09-27 18:00:00,ds-modules,COGSCI-1,26153.0,145.0,17,0.0
COGSCI 1,2019-09-27 19:00:00,ds-modules,COGSCI-1,26153.0,145.0,12,587.5
COGSCI 1,2019-09-27 20:00:00,ds-modules,COGSCI-1,26153.0,145.0,17,0.0
COGSCI 1,2019-09-27 21:00:00,ds-modules,COGSCI-1,26153.0,145.0,19,0.0
COGSCI 1,2019-09-27 22:00:00,ds-modules,COGSCI-1,26153.0,145.0,7,0.0
COGSCI 1,2019-09-27 23:00:00,ds-modules,COGSCI-1,26153.0,145.0,10,0.0
COGSCI 1,2019-09-28 00:00:00,ds-modules,COGSCI-1,26153.0,145.0,4,0.0
COGSCI 1,2019-09-28 01:00:00,ds-modules,COGSCI-1,26153.0,145.0,13,0.0
COGSCI 1,2019-09-28 02:00:00,ds-modules,COGSCI-1,26153.0,145.0,20,0.0
COGSCI 1,2019-09-28 03:00:00,ds-modules,COGSCI-1,26153.0,145.0,12,0.0
COGSCI 1,2019-09-28 04:00:00,ds-modules,COGSCI-1,26153.0,145.0,10,0.0
COGSCI 1,2019-09-28 05:00:00,ds-modules,COGSCI-1,26153.0,145.0,5,0.0
COGSCI 1,2019-09-28 06:00:00,ds-modules,COGSCI-1,26153.0,145.0,9,0.0
COGSCI 1,2019-09-28 07:00:00,ds-modules,COGSCI-1,26153.0,145.0,2,416.25
COGSCI 1,2019-09-28 15:00:00,ds-modules,COGSCI-1,26153.0,145.0,3,0.0
